batter,balls,strikes,outs_when_up,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,at_bat_number,pitch_number,home_score,away_score,bat_score,fld_score,stand_class,home,half_inning,year,month,day,base_runner_class,if_alignment_class,of_alignment_class
641857,0,1,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,25,2,0,1,0,1,2,0,6,2021,4,17,1,3,2
641857,0,0,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,25,1,0,1,0,1,2,0,6,2021,4,17,1,3,2
606132,0,2,1,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,24,3,0,1,0,1,2,0,6,2021,4,17,1,2,1
606132,0,1,1,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,24,2,0,1,0,1,2,0,6,2021,4,17,1,2,1
606132,0,0,1,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,24,1,0,1,0,1,2,0,6,2021,4,17,1,2,1
592346,2,2,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,23,5,0,1,0,1,1,0,6,2021,4,17,1,1,1
592346,1,2,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,23,4,0,1,0,1,1,0,6,2021,4,17,1,1,1
592346,1,1,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,23,3,0,1,0,1,1,0,6,2021,4,17,1,1,1
592346,1,0,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,23,2,0,1,0,1,1,0,6,2021,4,17,1,1,1
592346,0,0,0,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,23,1,0,1,0,1,1,0,6,2021,4,17,1,1,1
624513,2,2,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,16,6,0,0,0,0,2,0,4,2021,4,17,5,3,1
624513,2,2,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,16,5,0,0,0,0,2,0,4,2021,4,17,5,3,1
624513,2,1,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,16,4,0,0,0,0,2,0,4,2021,4,17,5,3,1
624513,2,0,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,16,3,0,0,0,0,2,0,4,2021,4,17,5,3,1
624513,1,0,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,16,2,0,0,0,0,2,0,4,2021,4,17,5,3,1
624513,0,0,2,543510.0,624413.0,643446.0,605204.0,596019.0,642086.0,607043.0,624424.0,16,1,0,0,0,0,2,0,4,2021,4,17,5,3,1
